no.,listed as,book,author,edition,year
222,Mr. John Crook,Letters,"Sancho, Ignatius",1,1782
223,Dr. Campbell,Letters,"Sancho, Ignatius",1,1782
224,Mr. Thomas Cocksedge,Letters,"Sancho, Ignatius",1,1782
225,Mr. T. Cowsell,Letters,"Sancho, Ignatius",1,1782
226,Rev. Mr. Casborne,Letters,"Sancho, Ignatius",1,1782
227,Rev. Mr. Cromleholme,Letters,"Sancho, Ignatius",1,1782
228,Miss Crick,Letters,"Sancho, Ignatius",1,1782
229,Mr. William Clarke,Letters,"Sancho, Ignatius",1,1782
230,Mr. Patrick Codda,Letters,"Sancho, Ignatius",1,1782
231,Mr. Clarke,Letters,"Sancho, Ignatius",1,1782
232,Mr. Collingwood,Letters,"Sancho, Ignatius",1,1782
233,Mr. Cowl,Letters,"Sancho, Ignatius",1,1782
234,Mr. Thomas Chesterton,Letters,"Sancho, Ignatius",1,1782
235,Mr. Cooper,Letters,"Sancho, Ignatius",1,1782
236,Mr. Comings,Letters,"Sancho, Ignatius",1,1782
237,Mr. Cock,Letters,"Sancho, Ignatius",1,1782
238,Mr. Coker,Letters,"Sancho, Ignatius",1,1782
239,Mr. Clarke,Letters,"Sancho, Ignatius",1,1782
240,Mr. William Chapman,Letters,"Sancho, Ignatius",1,1782
241,Mr. Carss,Letters,"Sancho, Ignatius",1,1782
242,Mrs. Cocksedge,Letters,"Sancho, Ignatius",1,1782
243,Mr. James Cole,Letters,"Sancho, Ignatius",1,1782
244,Mr. John Clayton,Letters,"Sancho, Ignatius",1,1782
245,Mr. Clarke,Letters,"Sancho, Ignatius",1,1782
246,Mr. G. Cumberland,Letters,"Sancho, Ignatius",1,1782
247,Mr. Charles Clark,Letters,"Sancho, Ignatius",1,1782
248,Mr. Caslake,Letters,"Sancho, Ignatius",1,1782
249,"- Cotton, Esq.",Letters,"Sancho, Ignatius",1,1782
250,Mr. Copeland,Letters,"Sancho, Ignatius",1,1782
251,Mr. John Corbett,Letters,"Sancho, Ignatius",1,1782
252,Mr. Crow,Letters,"Sancho, Ignatius",1,1782
253,Mr. F. Coaffee,Letters,"Sancho, Ignatius",1,1782
254,Mr. Charles Carpenter,Letters,"Sancho, Ignatius",1,1782
255,Mrs. Mary Anne Chase,Letters,"Sancho, Ignatius",1,1782
256,Mr. John Cooper,Letters,"Sancho, Ignatius",1,1782
257,Mrs. Collier,Letters,"Sancho, Ignatius",1,1782
258,Mr. Richard Cust,Letters,"Sancho, Ignatius",1,1782
259,Mr. Cause,Letters,"Sancho, Ignatius",1,1782
260,Mrs. Chambers,Letters,"Sancho, Ignatius",1,1782
261,Rev. Mr. Case,Letters,"Sancho, Ignatius",1,1782
262,Mr. Campbell,Letters,"Sancho, Ignatius",1,1782
263,Mr. Cooper,Letters,"Sancho, Ignatius",1,1782
264,Mr. T. Cooper,Letters,"Sancho, Ignatius",1,1782
265,Mr. Cobbold ,Letters,"Sancho, Ignatius",1,1782
266,Her Grace the Duchess of Devonshire,Letters,"Sancho, Ignatius",1,1782
267,His Grace the Duke of Dorset,Letters,"Sancho, Ignatius",1,1782
268,Earl of Derby,Letters,"Sancho, Ignatius",1,1782
269,Lord Duncannon,Letters,"Sancho, Ignatius",1,1782
270,Lady Duncannon,Letters,"Sancho, Ignatius",1,1782
271,Lady Betty Delme,Letters,"Sancho, Ignatius",1,1782
272,"Sir Charles Davers, Bart.",Letters,"Sancho, Ignatius",1,1782
273,Dean of Derry,Letters,"Sancho, Ignatius",1,1782
274,Mrs. Delaney,Letters,"Sancho, Ignatius",1,1782
275,"Nathaniel Draper, Esq.",Letters,"Sancho, Ignatius",1,1782
276,"Charles Dumbleton, Esq.",Letters,"Sancho, Ignatius",1,1782
277,"Edmund Digby, Esq.",Letters,"Sancho, Ignatius",1,1782
278,"John Richard Dashwood, Esq.",Letters,"Sancho, Ignatius",1,1782
279,Mrs. Dashwood,Letters,"Sancho, Ignatius",1,1782
280,"John Durbin, Esq.",Letters,"Sancho, Ignatius",1,1782
281,"John Disney, D.D.F.R.S.",Letters,"Sancho, Ignatius",1,1782
282,"B- Gurden Dillingham, Esq.",Letters,"Sancho, Ignatius",1,1782
283,Mrs. Dillingham,Letters,"Sancho, Ignatius",1,1782
284,Mr. Day,Letters,"Sancho, Ignatius",1,1782
285,Mrs. Dalton,Letters,"Sancho, Ignatius",1,1782
286,Mr. Thomas Davies,Letters,"Sancho, Ignatius",1,1782
287,Mrs. Dighton,Letters,"Sancho, Ignatius",1,1782
288,Mr. James Denton,Letters,"Sancho, Ignatius",1,1782
289,Mr. Dean,Letters,"Sancho, Ignatius",1,1782
290,Mr. Dickenson,Letters,"Sancho, Ignatius",1,1782
291,Mr. Dalton,Letters,"Sancho, Ignatius",1,1782
292,Mrs. Deresley,Letters,"Sancho, Ignatius",1,1782
293,Rev. Mr. Denneson,Letters,"Sancho, Ignatius",1,1782
294,Capt. George Douglas,Letters,"Sancho, Ignatius",1,1782
295,Mrs. Drieg,Letters,"Sancho, Ignatius",1,1782
296,Mr. David Drummond,Letters,"Sancho, Ignatius",1,1782
297,Mr. Thomas Daw,Letters,"Sancho, Ignatius",1,1782
298,Mr.  John Dallow,Letters,"Sancho, Ignatius",1,1782
299,Mrs. Dubourg,Letters,"Sancho, Ignatius",1,1782
300,Major  Darch,Letters,"Sancho, Ignatius",1,1782
301,Mr. Duncombe,Letters,"Sancho, Ignatius",1,1782
302,Mr. Douce,Letters,"Sancho, Ignatius",1,1782
303,Rev. Mr. Dickinson,Letters,"Sancho, Ignatius",1,1782
304,Mr. Dearne,Letters,"Sancho, Ignatius",1,1782
305,Mrs. Dunbar,Letters,"Sancho, Ignatius",1,1782
306,Mr. Deck,Letters,"Sancho, Ignatius",1,1782
307,Mr. Derousiere,Letters,"Sancho, Ignatius",1,1782
308,Mr. J. Downes,Letters,"Sancho, Ignatius",1,1782
309,Mr. Davis,Letters,"Sancho, Ignatius",1,1782
310,Miss Davis,Letters,"Sancho, Ignatius",1,1782
311,Mr. Delapierre,Letters,"Sancho, Ignatius",1,1782
312,Mrs. Delapierre,Letters,"Sancho, Ignatius",1,1782
313,"Thomas Douglas, Esq.",Letters,"Sancho, Ignatius",1,1782
314,Mr. Dove,Letters,"Sancho, Ignatius",1,1782
315,Mr. J. Dickinson,Letters,"Sancho, Ignatius",1,1782
316,Mr. Dupuis,Letters,"Sancho, Ignatius",1,1782
317,Earl of Egremont,Letters,"Sancho, Ignatius",1,1782
318,Lady Carolina Egerton,Letters,"Sancho, Ignatius",1,1782
319,"Sir Gilbert Elliot, Bart.",Letters,"Sancho, Ignatius",1,1782
320,"Sire Henry Englefield, Bart.",Letters,"Sancho, Ignatius",1,1782
321,"T. Glover Ewen, Esq.",Letters,"Sancho, Ignatius",1,1782
322,Rev. Mr. Eaton,Letters,"Sancho, Ignatius",1,1782
323,Mr. Thomas Evans,Letters,"Sancho, Ignatius",1,1782
324,Mr. E. Ellis,Letters,"Sancho, Ignatius",1,1782
