entry_id,source_entry_id,person_id,normalization input,normalized_name,name_order,name_type,title_key,parsed_title,parsed_first,parsed_last,parsed_postnominals,parsed_occupation,parsed_affiliation,parsed_location,parsed_notes,listed as,book,author,edition,year
Equiano-Interesting-3-0075,Equiano-Interesting-3-0075,Equiano-Interesting-3-0075,The Right Reverend Lord Bishop of Chester,Right Rev. Lord Bishop of Chester,first-last,titled,lord bishop of chester,Right Rev. Lord Bishop of Chester,,,,,,,,The Right Reverend Lord Bishop of Chester,Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0076,Equiano-Interesting-3-0076,Equiano-Interesting-3-0076,The Right Hon. H. S. Conway,Right Hon. H. S. Conway,first-last,personal,,Right Hon.,H. S.,Conway,,,,,,The Right Hon. H. S. Conway,Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0077,Equiano-Interesting-3-0077,Equiano-Interesting-3-0077,Lady Almiria Carpenter,Lady Almiria Carpenter,first-last,titled,lady almiria carpenter,Lady Almiria Carpenter,,,,,,,,Lady Almiria Carpenter,Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0078,Equiano-Interesting-3-0078,Equiano-Interesting-3-0078,"Charles Carter, Esq.",Charles Carter Esq.,first-last,bare,,,Charles,Carter,Esq,,,,,"Charles Carter, Esq.",Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0079,Equiano-Interesting-3-0079,Equiano-Interesting-3-0079,Mr. James Chalmers,Mr. James Chalmers,first-last,personal,,Mr.,James,Chalmers,,,,,,Mr. James Chalmers,Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0080,Equiano-Interesting-3-0080,Equiano-Interesting-3-0080,Mr. Child,Mr. Child,first-last,personal,,Mr.,,Child,,,,,,Mr. Child,Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0081,Equiano-Interesting-3-0081,Equiano-Interesting-3-0081,"The Rev. Mr. Thomas Clarkson, 2 copies",Rev. Mr. Thomas Clarkson,first-last,personal,,Rev. Mr.,Thomas,Clarkson,,,,,2 copies,"The Rev. Mr. Thomas Clarkson, 2 copies",Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0082,Equiano-Interesting-3-0082,Equiano-Interesting-3-0082,"Captain John Clarkson, of the Royal Navy",Capt. John Clarkson of the Royal Navy,first-last,personal,,Capt.,John,Clarkson,,,Royal Navy,,of the Royal Navy,"Captain John Clarkson, of the Royal Navy",Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0083,Equiano-Interesting-3-0083,Equiano-Interesting-3-0083,Mr. R. Clay,Mr. R. Clay,first-last,personal,,Mr.,R.,Clay,,,,,,Mr. R. Clay,Interesting Narrative,"Equiano, Olaudah",3,1790
Equiano-Interesting-3-0084,Equiano-Interesting-3-0084,Equiano-Interesting-3-0084,Mr. William Clout,Mr. William Clout,first-last,personal,,Mr.,William,Clout,,,,,,Mr. William Clout,Interesting Narrative,"Equiano, Olaudah",3,1790
