title_key,person_name,wikidata_id,start_year,end_year,source
duke of northumberland,"Hugh Percy, 10th Duke of Northumberland",Q6017961,1940,1988,wikidata
duke of northumberland,"Henry Percy, 11th Duke of Northumberland",Q5726858,1988,1995,wikidata
duke of northumberland,"Ralph Percy, 12th Duke of Northumberland",Q6853506,1995,,wikidata
duke of queensberry,"James Douglas, 2nd Duke of Queensberry",Q335636,,,wikidata
duke of queensberry,"Henry Scott, 3rd Duke of Buccleuch",Q335286,1810,,wikidata
duke of queensberry,"Charles Montagu-Scott, 4th Duke of Buccleuch",Q337447,1812,,wikidata
duke of queensberry,"Walter Montagu Douglas Scott, 5th Duke of Buccleuch",Q2702418,1819,,wikidata
duke of queensberry,"William Montagu Douglas Scott, 6th Duke of Buccleuch",Q337468,1884,,wikidata
duke of queensberry,"John Montagu Douglas Scott, 7th Duke of Buccleuch",Q337464,1914,,wikidata
duke of queensberry,"Walter Montagu Douglas Scott, 8th Duke of Buccleuch",Q2602495,1935,,wikidata
duke of queensberry,"John Scott, 9th Duke of Buccleuch",Q333214,1973,,wikidata
duke of queensberry,"Richard Scott, 10th Duke of Buccleuch",Q2079879,2007,,wikidata
duke of queensbury,,,,,
duke of rutland,"John Manners, 2nd Duke of Rutland",Q337638,,,wikidata
duke of rutland,"Charles Manners, 4th Duke of Rutland",Q961831,,,wikidata
duke of rutland,"John Manners, 1st Duke of Rutland",Q338020,1703,,wikidata
duke of rutland,"John Manners, 3rd Duke of Rutland",Q3809451,1721,1779,wikidata
duke of rutland,"John Manners, 5th Duke of Rutland",Q3809455,1787,1857,wikidata
duke of rutland,"Charles Manners, 6th Duke of Rutland",Q3666446,1857,1906,wikidata
duke of rutland,"John Manners, 7th Duke of Rutland",Q2086683,1888,1906,wikidata
duke of rutland,"Henry Manners, 8th Duke of Rutland",Q3784973,1906,1925,wikidata
duke of rutland,"John Manners, 9th Duke of Rutland",Q6246599,1925,1940,wikidata
duke of rutland,"Charles Manners, 10th Duke of Rutland",Q7585535,1940,1999,wikidata
